gnomAD_AF	CADD_PHRED	Condel	DANN_score	MetaLR_score	MetaSVM_score	REVEL_score	phastCons100way_vertebrate	phastCons20way_mammalian	phyloP100way_vertebrate	phyloP20way_mammalian	True.Label
8.121102e-06	24.2	0.373	0.989770134323274	0.0585	-1.0641	0.102	0.011	0.004	2.011	0.741	1
8.121102e-06	25.7	0.906	0.994679888103926	0.3711	-0.1611	0.657	1	0.881	5.541	1.002	1
0	25.8	0.638	0.993191016876623	0.2097	-0.5956	0.261	1	0.902	5.873	1.025	1
8.121102e-06	33	0.744	0.998866786032791	0.1399	-0.9235	0.689	0.966	1	1.591	0.96	1
2.042e-05	28.8	0.776	0.998890756788867	0.1685	-0.8137	0.677	1	0.962	2.772	1.036	1
3.98e-05	23.3	0.566	0.995481017434611	0.0842	-0.9631	0.408	1	0.995	5.617	0.986	1
8.121102e-06	34	0.873	0.999401819735913	0.2035	-0.8872	0.364	1	1	7.734	0.935	1
8.121102e-06	32	0.911	0.984503998486447	0.0245	-1.1749	0.555	1	1	9.112	1.197	1
0	28.1	0.919	0.973823256639196	0.348	-0.4057	0.515	1	0.998	9.083	1.199	1
4.067e-06	31	0.945	0.933299181607483	0.2925	-0.5538	0.504	1	0.998	9.083	1.199	1
8.121102e-06	23.9	0.668	0.965165284038531	0.2046	-0.7676	0.309	1	0.997	7.815	1.061	1
8.121102e-06	23.6	0.728	0.937009411715172	0.7591	0.4612	0.796	1	1	2.553	1.199	1
8.121102e-06	31	0.679	0.980224441735596	0.8138	0.8231	0.906	1	1	7.815	1.061	1
8.121102e-06	16.78	0.46	0.971321746969706	0.8325	0.6437	0.617	1	1	3.114	0.658	1
4.174e-06	24.1	0.518	0.995967535135399	0.4826	0.1157	0.553	0.517	0.571	2.111	1.038	1
6.789e-06	34	0.483	0.998286903750958	0.5375	0.3016	0.462	1	0.999	6.584	0.985	1
8.121102e-06	24.6	0.364	0.994879054569776	0.3628	-0.3013	0.567	1	0.998	8.662	1.048	1
2.442e-05	24.3	0.902	0.999271787139848	0.3311	-0.4393	0.382	1	0.998	6.239	0.935	1
4.085e-06	23	0.777	0.988589909813215	0.9081	0.9167	0.755	0.546	0.861	-0.164	-0.501	1
3.656e-05	24.2	0.354	0.99740707041296	0.8665	0.9447	0.715	0.998	0.032	4.057	-0.479	1
8.121102e-06	21.8	0.049	0.987188864358364	0.4051	-0.5122	0.487	1	0.998	5.746	0.192	1
8.121102e-06	28.9	0.848	0.999112534637271	0.4321	-0.0174	0.761	1	0.996	8.806	1.199	1
8.121102e-06	26.3	0.812	0.996855100114673	0.5606	0.2828	0.848	1	0.663	8.677	1.199	1
8.121102e-06	34	0.536	0.995433575981685	0.4929	0.0237	0.537	1	0.996	7.347	0.892	1
8.121102e-06	27.1	0.857	0.99171651443995	0.557	0.313	0.826	1	1	8.818	1.199	1
8.121102e-06	24	0.35	0.99839095987251	0.4612	-0.0464	0.689	1	1	7.498	0.964	1
8.121e-06	35	0.859	0.999564858613746	0.6727	0.5727	0.879	1	0.991	7.395	0.852	1
4.062e-06	24.2	0.155	0.995873839021604	0.4433	-0.3323	0.279	1	0.998	4.982	0.953	1
8.121102e-06	31	0.691	0.999279267126899	0.6727	0.5727	0.685	1	0.996	9.377	0.953	1
8.121102e-06	26.7	0.398	0.99066064994096	0.7161	0.5634	0.791	1	0.975	8.515	1.199	1
8.124e-06	29.2	0.902	0.992716529976668	0.9419	1.0962	0.957	1	0.923	8.515	1.199	1
8.121102e-06	32	0.935	0.997700732302106	0.9586	1.0985	0.957	1	0.593	7.205	0.935	1
8.121102e-06	27.6	0.945	0.999313886428855	0.9504	1.1027	0.938	1	0.398	9.137	1.048	1
8.121102e-06	24.3	0.697	0.985255763957617	0.7052	0.2915	0.629	1	0.959	1.305	0.146	1
6.091e-05	35	0.834	0.999595925207028	0.9002	0.9861	0.905	1	0.881	7.263	0.927	1
8.121102e-06	15.6	0.037	0.978866679932084	0.6604	-2e-04	0.475	0.753	1	0.013	0.126	1
8.121102e-06	28.1	0.935	0.997352312894092	0.9456	1.0989	0.976	1	0.997	8.575	1.173	1
4.061e-06	28.2	0.945	0.998166085927804	0.9388	1.0829	0.973	1	1	9.202	1.026	1
1.218e-05	35	0.73	0.999400654232081	0.864	0.8897	0.899	1	0.995	7.254	0.916	1
8.121102e-06	34	0.895	0.999246031122143	0.9347	1.0816	0.844	1	0.999	7.375	1.026	1
4.064e-05	32	0.882	0.998850949733041	0.896	0.9793	0.879	1	1	6.22	1.038	1
8.121102e-06	28	0.453	0.982138554283885	0.6744	0.2169	0.805	1	1	7.357	0.927	1
2.031e-05	22.9	0.018	0.998463003796491	0.3592	-0.6256	0.271	1	0.974	2.45	-0.345	1
0.0001869	23.7	0.524	0.998858907407784	0.4937	-0.1111	0.523	1	0.974	2.414	0.09	1
8.121102e-06	28.5	0.491	0.999153040860908	0.748	0.8027	0.714	0.994	0.995	3.073	0.888	1
8.121102e-06	28.5	0.873	0.993073524725221	0.6756	0.5749	0.77	1	0.981	1.572	0.071	1
6.903e-05	34	0.762	0.999234263194872	0.7842	0.7287	0.762	1	1	4.497	0.949	1
2.447e-05	34	0.828	0.999589765903638	0.0874	-1.1063	0.734	1	0.921	6.35	1.048	1
4.096e-06	35	0.709	0.99922190465742	0.1358	-0.9826	0.767	1	0.767	1.946	0.925	1
0.0008806	22.9	0.815	0.995984301944337	0.1725	-0.7259	0.243	0.004	0.012	1.301	0.709	1
8.121102e-06	34	0.935	0.999363650056522	0.2318	-0.4683	0.936	1	1	7.903	0.934	1
8.121102e-06	27	0.649	0.993453899010565	0.2242	-0.6345	0.735	1	0.996	7.834	0.935	1
8.121102e-06	27.8	0.889	0.998274698955869	0.4293	-0.1866	0.823	1	1	1.391	0.935	1
0.0005093	23.7	0.034	0.996568057989104	0.1404	-0.897	0.1	1	1	4.033	0.953	1
8.121102e-06	19.93	0.05	0.99482293963826	0.8926	0.9007	0.686	1	0.996	2.587	0.935	1
8.121102e-06	33	0.935	0.999371550955471	0.3854	-0.1893	0.807	1	0.994	4.307	1.048	1
8.121102e-06	27.5	0.863	0.995984513752819	0.6625	0.6203	0.867	1	0.999	7.674	1.058	1
0.001886	6.793	0.021	0.73654051186364	0.0876	-1.0228	0.04	0	0.001	0.434	0.056	1
8.121102e-06	33	0.813	0.999190600876638	0.6156	0.3434	0.879	1	1	7.727	0.953	1
8.121102e-06	28.2	0.945	0.998341377362044	0.8986	1.0752	0.925	1	0.981	7.905	0.87	1
4.062e-06	32	0.906	0.998104830701884	0.9524	0.9919	0.791	0.986	1	0.268	0.935	1
8.121102e-06	34	0.945	0.999417657144048	0.9661	1.0825	0.971	1	0.983	9.655	0.883	1
8.121102e-06	25.8	0.945	0.966618007339273	0.5062	0.0782	0.528	1	0.999	6.101	1.178	1
9.772e-05	28.3	0.74	0.999151358962154	0.3783	-0.1729	0.495	0.994	0.955	3.613	0.975	1
4.1e-06	32	0.935	0.99926697026641	0.5422	0.2682	0.782	1	0.998	9.864	1.048	1
2.032e-05	34	0.945	0.99597539132851	0.6372	0.5781	0.903	1	1	10.003	1.048	1
8.121102e-06	25.7	0.897	0.998046524426703	0.3895	-0.0039	0.915	1	0.504	7.964	1.061	1
5.285e-05	33	0.78	0.999120320923747	0.8835	0.9425	0.852	1	0.987	3.077	1.048	1
