True.Label	gnomAD_AF	DANN_score	MetaLR_score	MetaSVM_score	REVEL_score	phastCons100way_vertebrate	phastCons20way_mammalian	phyloP100way_vertebrate	phyloP20way_mammalian	Condel	CADD_PHRED	ada_score	rf_score	group
0	0.000681	0.822407534344934	0.0410065212813152	-0.975608987882509	0.110016912188945	0.656031311902361	0.60227902421632	1.856991440675	0.290864602260404	0.205197847389042	10.18	0.199973239063709	0.229914784708933	6
0	1.236e-05	0.590814434630271	0.0563	-1.0691	0.01	0	0	-5.387	-1.075	0.027	8.588	0.0838907949435231	0.152290672980599	5
1	8.121102e-06	0.990305071568038	0.2553	-0.6737	0.361	1	0.997	8.135	1.048	0.042	22.4	0.999988811662098	1	2
1	8.121102e-06	0.990670843644664	0.2554	-0.743	0.361	1	0.997	8.135	1.048	0.042	22.7	0.999962936715506	0.976	6
0	0.008008	0.95628768229485	6e-04	-1.0952	0.05	0.988	0.995	1.46	1.048	0.034	17.24	0.0640872320523858	0.278	1
0	8.121102e-06	0.985177422117539	0.0573	-0.9986	0.143	0	0.985	-0.526	1.091	0.793	25.1	5.91806473974217e-05	0.1	5
1	8.121102e-06	0.976578915120091	0.0361	-1.0974	0.218	1	0.999	7.645	1.061	0.054	18.8	0.905383882862926	0.504	8
0	0.0003087	0.933669064953017	0.1113	-1.0012	0.065	1	0.997	7.136	0.953	0.014	16.89	0.209797788608192	0.239033137100316	8
1	8.121102e-06	0.984650834701327	0.8667	0.8593	0.91	1	0.993	9.323	0.887	0.691	28.1	0.999887847226569	0.956	7
1	0.0002161	0.999506842965173	0.4993	0.1808	0.404	1	0.999	4.61	0.852	0.892	34	0.945503221174692	0.67	4
1	8.121102e-06	0.999194523283401	0.9341	1.0293	0.939	1	0.997	7.568	0.935	0.945	33	0.818074327462596	0.761833062595933	6
1	8.121e-06	0.997382889443127	0.8397	0.8818	0.899	1	0.998	7.537	0.932	0.536	32	0.980703310922514	0.728	8
1	8.121102e-06	0.997224783215799	0.9179	1.0269	0.949	1	0.989	7.667	1.047	0.82	26.7	0.661458847021397	0.496	8
1	8.121102e-06	0.989292918973906	0.8837	0.954	0.921	1	0.995	8.947	1.199	0.412	32	0.744473245700717	0.706	3
0	0.0003099	0.968584224578261	0.5182	-0.1869	0.52	1	0.853	1.142	0.935	0.35	17.57	0.00563682211886221	0.06	1
